Source,Target,Similarity
trump,obama,0.62784636
obama,reagan,0.720416546
obama,clinton,0.661075473
obama,barack,0.660931289
obama,nixon,0.63658607
obama,mccain,0.623258054
obama,bush,0.617334843
obama,putin,0.597032249
obama,ahmadinejad,0.579698741
obama,biden,0.579110265
trump,drumpf,0.546892822
drumpf,ramotar,0.592853606
drumpf,wrye,0.516521096
drumpf,swaelens,0.505039275
drumpf,difrancesco,0.50155592
drumpf,deskey,0.487976134
drumpf,rumsfeld,0.480896056
drumpf,carcieri,0.479807079
drumpf,wildmon,0.478774548
drumpf,tiripano,0.476980776
trump,rumsfeld,0.543486476
rumsfeld,keyhoe,0.595981836
rumsfeld,carcieri,0.567503929
rumsfeld,difrancesco,0.551731169
rumsfeld,segretti,0.549274862
rumsfeld,kuspit,0.548006117
rumsfeld,quataert,0.546682477
rumsfeld,verrilli,0.530256212
rumsfeld,spoto,0.528141022
rumsfeld,ramotar,0.527365625
trump,obamadonald,0.534412146
obamadonald,obamamost,0.567872167
obamadonald,obama,0.536965609
obamadonald,bushbarack,0.476154804
obamadonald,nfubea,0.471191823
obamadonald,unquotable,0.45739764
obamadonald,philadelph,0.450910985
obamadonald,drumpf,0.422944725
obamadonald,rajghatta,0.417783737
obamadonald,barack,0.416350365
trump,ramotar,0.522356033
ramotar,tiripano,0.686386824
ramotar,kalpokas,0.681731164
ramotar,difrancesco,0.677634716
ramotar,kaberuka,0.652974844
ramotar,swaelens,0.652526855
ramotar,havioyak,0.646550894
ramotar,deskey,0.632011294
ramotar,wrye,0.630821466
ramotar,carcieri,0.628348827
ramotar,runnicles,0.628319502
trump,mccain,0.511515141
mccain,kasich,0.71551919
mccain,sununu,0.670033216
mccain,cornyn,0.647938669
mccain,boehner,0.624385417
mccain,obama,0.623258054
mccain,hostettler,0.612101972
mccain,yarmuth,0.605155945
mccain,huckabee,0.604990959
mccain,boozman,0.60490787
mccain,chafee,0.600763202
trump,reagan,0.506039381
reagan,obama,0.720416546
reagan,nixon,0.685536206
reagan,machtley,0.644668221
reagan,truman,0.628557324
reagan,eisenhower,0.61441052
reagan,roosevelt,0.595315874
reagan,clinton,0.591198444
reagan,kiandee,0.583823144
reagan,pofalla,0.575437069
reagan,depinho,0.573009133
trump,difrancesco,0.501830876
difrancesco,carcieri,0.741079569
difrancesco,manzullo,0.713445663
difrancesco,albosta,0.698321164
difrancesco,ramotar,0.677634716
difrancesco,mceachin,0.665435731
difrancesco,tiripano,0.656781793
difrancesco,kettl,0.654616237
difrancesco,wrye,0.650338411
difrancesco,runnicles,0.6492064
difrancesco,havioyak,0.642967701
trump,carcieri,0.500848353
carcieri,difrancesco,0.741079569
carcieri,manzullo,0.667579055
carcieri,ramotar,0.628348827
carcieri,kettl,0.617387176
carcieri,albosta,0.616314471
carcieri,etiebet,0.586184382
carcieri,verrilli,0.583941698
carcieri,wrye,0.577619016
carcieri,quataert,0.574354649
carcieri,havioyak,0.572547317
trump,putin,0.483127594
putin,medvedev,0.739267707
putin,yeltsin,0.728437901
putin,gorbachev,0.693802953
putin,lukashenko,0.673844278
putin,ahmadinejad,0.668079257
putin,yushchenko,0.667038321
putin,yanukovych,0.663871884
putin,saakashvili,0.650162458
putin,zhirinovsky,0.636763811
putin,sarkozy,0.613301516